Time,w1,x1,y1,z1,time2,w2,x2,y2,z2
1729028462.698719,-0.9993746135552795,-0.0036451720568964193,0.0030324339891964823,0.03504138761539788,1729028462.698729,-0.9993964553691734,-0.0136436262875187,0.018383657780529424,0.026126951293002243
1729028462.698761,-0.9993744702973573,-0.0036444899927850546,0.0030299095143629644,0.03504576235301221,1729028462.698768,-0.9993961675607923,-0.013646920514990087,0.018375421351396123,0.026142029672864497
1729028462.707465,-0.9993745362915991,-0.0036444890847639215,0.0030264079935888566,0.03504418305395074,1729028462.707475,-0.9993965452055426,-0.0136607454577926,0.018365764671229134,0.026127153553431703
1729028462.718155,-0.9993746297901831,-0.0036445097129302268,0.0030259289830943475,0.03504155582271107,1729028462.718165,-0.9993964173262451,-0.013666608014736709,0.018357757000613758,0.026134605769820074
1729028462.723174,-0.999374532052759,-0.003645406654893743,0.0030246764192153794,0.03504435799395905,1729028462.7231848,-0.9993960913566129,-0.013668917196334231,0.018352670698207812,0.026149431390521394
1729028462.731516,-0.9993746540131981,-0.003645781289444394,0.0030235043580512863,0.035040941999139215,1729028462.7315269,-0.9993962821177215,-0.013672373381979592,0.018345502690435146,0.026145363382725776
1729028462.7399218,-0.9993747413795815,-0.0036464459047632594,0.003022418339598286,0.03503847474047262,1729028462.739934,-0.9993967047959567,-0.013693424257012404,0.018334754233503614,0.02612572223495979
1729028462.750134,-0.9993746460478685,-0.003646055767720212,0.0030190276990869633,0.0350415265904393,1729028462.750142,-0.9993961084605811,-0.013718011169582685,0.018316593437585366,0.026148364542355973
1729028462.756573,-0.9993746028005256,-0.0036462381491593043,0.0030168820341132815,0.03504292578315483,1729028462.756581,-0.9993960758030209,-0.013762770083806202,0.018294762638116694,0.02614137504336783
1729028462.76486,-0.9993745286387341,-0.0036463693971710005,0.003013878654738772,0.035045285471544514,1729028462.764868,-0.9993962683085753,-0.013762776681111075,0.018293249649262235,0.026135070043715458
1729028462.7731829,-0.9993744963354295,-0.003646749026082542,0.0030111039145739667,0.03504640565112344,1729028462.773195,-0.9993959288987111,-0.013755368371250609,0.018291440263229184,0.026153209262926528
1729028462.781643,-0.9993745549980705,-0.003646847510006116,0.003001646098287244,0.03504553390017068,1729028462.781659,-0.9993959550547278,-0.013755303649617457,0.01828773298723146,0.02615483633945065
1729028462.789855,-0.9993747851312804,-0.003646573205279517,0.0030030784474905773,0.03503887651600557,1729028462.7898638,-0.9993967431319828,-0.013759053336221353,0.018288873167917462,0.026121933058726066
1729028462.798142,-0.9993745953730145,-0.0036469866572374724,0.003002718637527961,0.03504427616786299,1729028462.7981498,-0.9993963114908642,-0.013781888235770427,0.01826550788378529,0.026142749604042115
1729028462.806527,-0.9993746706304864,-0.0036479301594281852,0.0030013240827693136,0.03504215121120563,1729028462.806535,-0.9993963862559057,-0.013825343024952948,0.018232666001511754,0.026139872213853388
1729028462.8149178,-0.9993746678762102,-0.003648515019939706,0.0029980064707219793,0.035042452863137556,1729028462.8149278,-0.9993961355664374,-0.01385760014357992,0.018208436489781404,0.026149263349650564
1729028462.8232372,-0.9993744222136829,-0.003649184148745286,0.0029933798713961454,0.03504978398024178,1729028462.823254,-0.9993960562388363,-0.013875804431930643,0.0181870417888876,0.026157529252526394
1729028462.831556,-0.9993744657202625,-0.0036495184195872933,0.002987627454901799,0.0350489994698266,1729028462.8315651,-0.9993963276980005,-0.013902292636110813,0.018145199929380698,0.026162151339940265
1729028462.839745,-0.9993745315046638,-0.0036493151809980336,0.0029848332727583416,0.03504738291053028,1729028462.839754,-0.999396369601751,-0.013933149900306644,0.01812818807009358,0.026155927779211774
1729028462.848112,-0.9993744008786469,-0.0036500855759172843,0.002982399459914541,0.0350512344603654,1729028462.84812,-0.9993961939883567,-0.013939097370823435,0.018123276332943944,0.026162871804015664
1729028462.856535,-0.9993743884450825,-0.0036497130014758487,0.002981203604625112,0.03505172948788987,1729028462.856544,-0.9993963348569322,-0.013950951546773317,0.018114000752775798,0.026157595497262758
1729028462.8648908,-0.99937444662106,-0.003649730691387214,0.0029816967356653006,0.03505002698011944,1729028462.864908,-0.9993961820475473,-0.013963450357724325,0.01810340541840994,0.026164098974546135
1729028462.873133,-0.9993744170097928,-0.0036500970435360187,0.0029788977350778054,0.03505107111335837,1729028462.873142,-0.9993958404904018,-0.013977111221693747,0.018093518789135957,0.02617668715110854
1729028462.881491,-0.9993743290936902,-0.0036504403653308346,0.0029749288195400478,0.035053878989272536,1729028462.8814988,-0.9993955606313233,-0.01399736298883407,0.018066340477151263,0.026195315640883565
1729028462.889876,-0.9993747611867273,-0.003652447186957864,0.002973582869807074,0.03504146311777984,1729028462.889884,-0.9993966788174149,-0.01398446499873319,0.01806960622070029,0.026157263588705293
1729028462.8981178,-0.9993745487022545,-0.0036517509002902135,0.0029743895277865354,0.03504752670966266,1729028462.898126,-0.9993962822356981,-0.013980908469230427,0.018068363424704716,0.026175169435795176
1729028462.9066129,-0.9993745214475831,-0.003650526562127868,0.0029754669314699506,0.035048339957454155,1729028462.906629,-0.9993963412815765,-0.013989289530898348,0.018064197462368665,0.026171312184531392
1729028462.914911,-0.9993745594581083,-0.003650835449509942,0.0029743970103791894,0.035047314745319635,1729028462.91492,-0.9993958196520394,-0.013992713376918115,0.018069302162953965,0.026185873170921248
1729028462.923193,-0.9993744778407061,-0.0036516397839038432,0.0029748301872719604,0.03504952143555867,1729028462.9232,-0.9993957519009958,-0.013973428269059751,0.018077934591157693,0.026192797971399562
1729028462.931542,-0.9993743928755242,-0.003651058545949857,0.0029729767798519647,0.035052161776957864,1729028462.931551,-0.9993958949617319,-0.013991234656576408,0.01806106396750841,0.026189472212805542
1729028462.940285,-0.9993745396634788,-0.003651454473861439,0.0029720868058855272,0.03504801068040253,1729028462.9402938,-0.9993962302203375,-0.014014253747196457,0.018050875971201454,0.02617138876635855
1729028462.9547572,-0.9993744425445936,-0.0036512475681332143,0.0029710288891435154,0.035050891104493165,1729028462.954771,-0.9993961949761112,-0.014056769990728683,0.01801185478178601,0.026176817453966716
1729028462.962126,-0.9993744726515917,-0.003650928234479548,0.0029681802956564706,0.035050307289840155,1729028462.962137,-0.9993961147767784,-0.01411645527966497,0.017961869538175215,0.026182106525472593
1729028462.970436,-0.9993745380985644,-0.0036508639945632324,0.0029673800740627875,0.035048515630057786,1729028462.970447,-0.9993961520348053,-0.014111043048501987,0.017956584812221853,0.026187226351587156
1729028462.9736829,-0.9993745038872908,-0.0036516389627932007,0.002968414206195357,0.035049322818243744,1729028462.973693,-0.9993961814347413,-0.014085576538143399,0.01797389010519509,0.02618794267849728
1729028462.98235,-0.9993744282266217,-0.003651543676394499,0.0029710481715208735,0.035051266856633456,1729028462.98236,-0.9993949833752476,-0.014069987977255078,0.017975786170592645,0.026240688905928955
1729028462.989789,-0.9993746260108735,-0.0036510145216568936,0.0029756033266209103,0.035045295881647405,1729028462.9898,-0.9993957421719326,-0.014062836032772783,0.018001787617752958,0.026197763528451823
